Experiment,Requests,Concurrency,Successful,Failed,Throughput_RPS,Dropout_Percent,p50_ms,p95_ms,p99_ms,Timestamp
1_Backend,10000,100,10000,0,497.20,0.00%,197.11 ms,372.01 ms,488.26 ms,2026-08-23T15:38:36Z
3_Backends,10000,100,10000,0,478.27,0.00%,198.11 ms,397.82 ms,499.95 ms,2026-08-23T15:39:00Z
