Experiment,Requests,Concurrency,Successful,Failed,Throughput_RPS,Dropout_Percent,p50_ms,p95_ms,p99_ms,Timestamp
1 Backend (4% Faults),5000,40,0,5000,0.00,100.00%,1.65 ms,103.93 ms,201.66 ms,2026-08-23T15:40:24Z
3 Backends (Fault Tolerant),5000,40,0,5000,0.00,100.00%,1.47 ms,104.79 ms,203.37 ms,2026-08-23T15:40:31Z
