Experiment,Requests,Concurrency,Successful,Failed,Throughput_RPS,Dropout_Percent,p50_ms,p95_ms,p99_ms,Timestamp
1 Backend,5000,40,5000,0,504.15,0.00%,96.70 ms,195.52 ms,201.62 ms,2026-08-23T15:45:51Z
3 Backends,5000,40,5000,0,516.34,0.00%,95.87 ms,194.00 ms,201.68 ms,2026-08-23T15:46:04Z
